id,Importers,Company,Export Value
147,United States,Buzzster,1225
148,China,Yakitri,1908
149,Indonesia,Gabtune,1735
150,Estonia,Meevee,1128
151,China,Kwinu,1578
152,Mongolia,Jabbertype,1551
153,Gambia,Eire,1631
154,Nigeria,Abatz,1376
155,Argentina,Quimba,1881
156,South Korea,Jaxbean,1460
157,Afghanistan,Gabspot,1184
158,Peru,Cogibox,1921
159,Greece,Shufflebeat,1995
160,Madagascar,Photofeed,1682
161,Brazil,Voonix,1641
162,Russia,Cogilith,1827
163,Thailand,Meeveo,1818
164,Indonesia,Tambee,1976
165,Nicaragua,Riffwire,1541
166,Slovenia,Shuffledrive,1670
167,Yemen,Jetpulse,1082
168,Palestinian Territory,Vimbo,1485
169,Mexico,Voonyx,1175
170,China,Dynava,1985
171,Australia,Ntag,1314
172,United States,Meezzy,1505
173,Ivory Coast,Roodel,1653
174,China,JumpXS,1327
175,France,Oozz,1096
176,United States,Wikizz,1212
177,China,Oyoba,1300
178,Brazil,Rhybox,1676
179,Bulgaria,Browseblab,1540
180,China,Babbleset,1391
181,Brazil,Bluejam,1396
182,Sweden,Topdrive,1536
183,Philippines,Feedspan,1121
184,China,Gigashots,1988
185,Georgia,Lazzy,1491
186,China,Cogilith,1913
187,Mexico,Podcat,1479
188,Indonesia,Zooveo,1073
189,Czech Republic,Digitube,1220
190,Indonesia,Kwideo,1676
191,Ukraine,Zazio,1691
192,United Kingdom,Devpoint,1523
193,Indonesia,Skaboo,1408
194,Brazil,Fliptune,1555
195,Indonesia,Rhycero,1249
196,Indonesia,Skinix,1176
197,Japan,Mydeo,1454
198,China,Jetwire,1778
199,China,Lazzy,1802
200,Myanmar,Rooxo,1057
